question,text
Tại sao triết học được coi là sự truy tìm bản chất của đối tượng trong văn minh Trung Quốc?,"<answer> triết học chính là trí tuệ, là sự hiểu biết sâu sắc của con người <context> Triết học ra đời ở cả phương Đông và phương Tây gần như cùng một thời gian (khoảng từ thế kỷ VIII đến thế kỷ VI trước Công nguyên) tại một số trung tâm văn minh cổ đại của nhân loại như Trung Quốc, ấn Độ, Hy Lạp. ở Trung Quốc, thuật ngữ triết học có gốc ngôn ngữ là chữ triết; người Trung Quốc hiểu triết học không phải là sự miêu tả mà là sự truy tìm bản chất của đối tượng, triết học chính là trí tuệ, là sự hiểu biết sâu sắc của con người."
Triết học được coi là gì ngay từ khi mới ra đời?,"<answer> triết học được xem là hình thái cao nhất của tri thức <context> Trong quá trình phát triển, đối tượng của triết học thay đổi theo từng giai đoạn lịch sử. Ngay từ khi mới ra đời, triết học được xem là hình thái cao nhất của tri thức, bao hàm trong nó tri thức về tất cả các lĩnh vực không có đối tượng riêng. Đây là nguyên nhân sâu xa làm nảy sinh quan niệm cho rằng, triết học là khoa học của mọi khoa học, đặc biệt là ở triết học tự nhiên của Hy Lạp cổ đại. Thời kỳ này, triết học đã đạt được nhiều thành tựu rực rỡ mà ảnh hưởng của nó còn in đậm đối với sự phát triển của tư tưởng triết học ở Tây Âu."
Triết học duy vật chủ nghĩa dựa trên điều gì để phát triển nhanh chóng?,"<answer> Triết học duy vật chủ nghĩa dựa trên cơ sở tri thức của khoa học thực nghiệm <context> Sự phát triển mạnh mẽ của khoa học vào thế kỷ XV, XVI đã tạo một cơ sở tri thức vững chắc cho sự phục hưng triết học. Để đáp ứng yêu cầu của thực tiễn, đặc biệt yêu cầu của sản xuất công nghiệp, các bộ môn khoa học chuyên ngành nhất là các khoa học thực nghiệm đã ra đời với tính cách là những khoa học độc lập. Sự phát triển xã hội được thúc đẩy bởi sự hình thành và củng cố quan hệ sản xuất tư bản chủ nghĩa, bởi những phát hiện lớn về địa lý và thiên văn cùng những thành tựu khác của cả khoa học tự nhiên và khoa học nhân văn đã mở ra một thời kỳ mới cho sự phát triển triết học. Triết học duy vật chủ nghĩa dựa trên cơ sở tri thức của khoa học thực nghiệm đã phát triển nhanh chóng trong cuộc đấu tranh với chủ nghĩa duy tâm và tôn giáo và đã đạt tới đỉnh cao mới trong chủ nghĩa duy vật thế kỷ XVII - XVIII ở Anh, Pháp, Hà Lan, với những đại biểu tiêu biểu như Ph.Bêcơn, T.Hốpxơ (Anh), Điđrô, Henvêtiuýt (Pháp), Xpinôda (Hà Lan)... V.I.Lênin đặc biệt đánh giá cao công lao của các nhà duy vật."
Triết học duy tâm nào cũng được phát triển trong các học thuyết triết học?,"<answer> triết học Hêghen <context> Pháp thời kỳ này đối với sự phát triển chủ nghĩa duy vật trong lịch sử triết học trước Mác. Trong suốt cả lịch sử hiện đại của châu Âu và nhất là vào cuối thế kỷ XVIII, ở nước Pháp, nơi đã diễn ra một cuộc quyết chiến chống tất cả những rác rưởi của thời trung cổ, chống chế độ phong kiến trong các thiết chế và tư tưởng, chỉ có chủ nghĩa duy vật là triết học duy nhất triệt để, trung thành với tất cả mọi học thuyết của khoa học tự nhiên, thù địch với mê tín, với thói đạo đức giả, v.v . Mặt khác, tư duy triết học cũng được phát triển trong các học thuyết triết học duy tâm mà đỉnh cao là triết học Hêghen, đại biểu xuất sắc của triết học cổ điển Đức."
Triết học khác biệt với mọi khoa học cụ thể như thế nào?,"<answer> Nó xem xét thế giới như một chỉnh thể <context> Triết học nghiên cứu thế giới bằng phương pháp của riêng mình khác với mọi khoa học cụ thể. Nó xem xét thế giới như một chỉnh thể và tìm cách đưa ra một hệ thống các quan niệm về chỉnh thể đó. Điều đó chỉ có thể thực hiện được bằng cách tổng kết toàn bộ lịch sử của khoa học và lịch sử của bản thân tư tưởng triết học. Triết học là sự diễn tả thế giới quan bằng lý luận. Chính vì tính đặc thù như vậy của đối tượng triết học mà vấn đề tư cách khoa học của triết học và đối tượng của nó đã gây ra những cuộc tranh luận kéo dài cho đến hiện nay. Nhiều học thuyết triết học hiện đại ở phương Tây muốn từ bỏ quan niệm truyền thống về triết học, xác định đối tượng nghiên cứu riêng cho mình như mô tả những hiện tượng tinh thần, phân tích ngữ nghĩa, chú giải văn bản..."
Vấn đề cơ bản của triết học được định nghĩa như thế nào?,"<answer> quan hệ giữa tư duy và tồn tại. <context> Triết học cũng như những khoa học khác phải giải quyết rất nhiều vấn đề có liên quan với nhau, trong đó vấn đề cực kỳ quan trọng là nền tảng và là điểm xuất phát để giải quyết những vấn đề còn lại được gọi là vấn đề cơ bản của triết học. Theo Ăngghen: Vấn đề cơ bản lớn của mọi triết học, đặc biệt là của triết học hiện đại, là vấn đề quan hệ giữa tư duy với tồn tại. Giải quyết vấn đề cơ bản của triết học không chỉ xác định được nền tảng và điểm xuất phát để giải quyết các vấn đề khác của triết học mà nó còn là tiêu chuẩn để xác định lập trường, thế giới quan của các triết gia và học thuyết của họ."
Thế giới quan là gì theo định nghĩa trong đoạn văn?,"<answer> toàn bộ những quan niệm của con người về thế giới, về bản thân con người, về cuộc sống và vị trí của con người trong thế giới đó. <context> Thế giới quan là toàn bộ những quan niệm của con người về thế giới, về bản thân con người, về cuộc sống và vị trí của con người trong thế giới đó. 
Trong thế giới quan có sự hoà nhập giữa tri thức và niềm tin. Tri thức là cơ sở trực tiếp cho sự hình thành thế giới quan, song nó chỉ gia nhập thế giới quan khi nó đã trở thành niềm tin định hướng cho hoạt động của con người. 
Có nhiều cách tiếp cận để nghiên cứu về thế giới quan. Nếu xét theo quá trình phát triển thì có thể chia thế giới quan thành ba loại hình cơ bản: Thế giới quan huyền thoại, thế giới quan tôn giáo và thế giới quan triết học. "
Thế giới quan huyền thoại là gì?,"<answer> phương thức cảm nhận thế giới của người nguyên thủy. <context> Thế giới quan huyền thoại là phương thức cảm nhận thế giới của người nguyên thủy. ở thời kỳ này, các yếu tố tri thức và cảm xúc, lý trí và tín ngưỡng, hiện thực và tưởng tượng, cái thật và cái ảo, cái thần và cái người, v.v. của con người hoà quyện vào nhau thể hiện quan niệm về thế giới."
Thế giới quan tôn giáo tập trung vào yếu tố nào chủ yếu?,"<answer> niềm tin tôn giáo <context> Trong thế giới quan tôn giáo, niềm tin tôn giáo đóng vai trò chủ yếu; tín ngưỡng cao hơn lý trí, cái ảo lấn át cái thực, cái thần vượt trội cái người."
Triết học diễn tả quan niệm của con người dưới dạng gì?,"<answer> hệ thống các phạm trù, quy luật <context> Khác với huyền thoại và giáo lý của tôn giáo, triết học diễn tả quan niệm của con người dưới dạng hệ thống các phạm trù, quy luật đóng vai trò như những bậc thang trong quá trình nhận thức thế giới. Với ý nghĩa như vậy, triết học được coi như trình độ tự giác trong quá trình hình thành và phát triển của thế giới quan. Nếu thế giới quan được hình thành từ toàn bộ tri thức và kinh nghiệm sống của con người; trong đó tri thức của các khoa học cụ thể là cơ sở trực tiếp cho sự hình thành những quan niệm nhất định về từng mặt, từng bộ phận của thế giới, thì triết học, với phương thức tư duy đặc thù đã tạo nên hệ thống lý luận bao gồm những quan niệm chung nhất về thế giới với tư cách là một chỉnh thể. Như vậy, triết học là hạt nhân lý luận của thế giới quan; triết học giữ vai trò định hướng cho quá trình củng cố và phát triển thế giới quan của mỗi cá nhân, mỗi cộng đồng trong lịch sử."
Nguyên tắc quan trọng phân biệt hai trường phái lớn trong triết học là gì?,"<answer> vật chất, giới tự nhiên <context> Việc giải quyết mặt thứ nhất vấn đề cơ bản của triết học đã chia các nhà triết học thành hai trường phái lớn. Những người cho rằng vật chất, giới tự nhiên là cái có trước và quyết định ý thức của con người được coi là các nhà duy vật; học thuyết của họ hợp thành các môn phái khác nhau của chủ nghĩa duy vật. Ngược lại, những người cho rằng, ý thức, tinh thần có trước giới tự nhiên được gọi là các nhà duy tâm; họ hợp thành các môn phái khác nhau của chủ nghĩa duy tâm."
Chủ nghĩa duy vật được thể hiện dưới bao nhiêu hình thức cơ bản?,"<answer> chủ nghĩa duy vật chất phác, chủ nghĩa duy vật siêu hình và chủ nghĩa duy vật biện chứng. <context> Cho đến nay, chủ nghĩa duy vật đã được thể hiện dưới ba hình thức cơ bản: chủ nghĩa duy vật chất phác, chủ nghĩa duy vật siêu hình và chủ nghĩa duy vật biện chứng. Chủ nghĩa duy vật chất phác là kết quả nhận thức của các nhà triết học duy vật thời cổ đại. Chủ nghĩa duy vật thời kỳ này trong khi thừa nhận tính thứ nhất của vật chất đã đồng nhất vật chất với một hay một số chất cụ thể và những kết luận của nó mang nặng tính trực quan nên ngây thơ, chất phác. Tuy còn rất nhiều hạn chế, nhưng chủ nghĩa duy vật chất phác thời cổ đại về cơ bản là đúng vì nó đã lấy giới tự nhiên để giải thích giới tự nhiên, không viện đến Thần linh hay Thượng đế."
Chủ nghĩa duy vật siêu hình là gì và thể hiện ra sao?,"<answer> là hình thức cơ bản thứ hai của chủ nghĩa duy vật <context> Chủ nghĩa duy vật siêu hình là hình thức cơ bản thứ hai của chủ nghĩa duy vật, thể hiện khá rõ ở các nhà triết học thế kỷ XV đến thế kỷ XVIII và đỉnh cao vào thế kỷ thứ XVII, XVIII. Đây là thời kỳ mà cơ học cổ điển thu được những thành tựu rực rỡ nên trong khi tiếp tục phát triển quan điểm chủ nghĩa duy vật thời cổ đại, chủ nghĩa duy vật giai đoạn này chịu sự tác động mạnh mẽ của phương pháp tư duy siêu hình, máy móc - phương pháp nhìn thế giới như một cỗ máy khổng lồ mà mỗi bộ phận tạo nên nó luôn ở trong trạng thái biệt lập và tĩnh tại. Tuy không phản ánh đúng hiện thực nhưng chủ nghĩa duy vật siêu hình cũng đã góp phần không nhỏ vào việc chống lại thế giới quan duy tâm và tôn giáo, điển hình là thời kỳ chuyển tiếp từ đêm trường trung cổ sang thời phục hưng."
Ai đã xây dựng chủ nghĩa duy vật biện chứng?,"<answer> C.Mác và Ph.Ăngghen <context> Chủ nghĩa duy vật biện chứng là hình thức cơ bản thứ ba của chủ nghĩa duy vật, do C.Mác và Ph.Ăngghen xây dựng vào những năm 40 của thế kỷ XIX, sau đó được V.I.Lênin phát triển. Với sự kế thừa tinh hoa của các học thuyết triết học trước đó và sử dụng khá triệt để thành tựu của khoa học đương thời, chủ nghĩa duy vật biện chứng, ngay từ khi mới ra đời đã khắc phục được hạn chế của chủ nghĩa duy vật chất phác thời cổ đại, chủ nghĩa duy vật siêu hình và là đỉnh cao trong sự phát triển của chủ nghĩa duy vật. Chủ nghĩa duy vật biện chứng không chỉ phản ánh hiện thực đúng như chính bản thân nó tồn tại mà còn là một công cụ hữu hiệu giúp những lực lượng tiến bộ trong xã hội cải tạo hiện thực ấy."
Chủ nghĩa duy tâm chia thành bao nhiêu phái?,"<answer> chủ nghĩa duy tâm chủ quan và chủ nghĩa duy tâm khách quan. <context> Chủ nghĩa duy tâm chia thành hai phái: chủ nghĩa duy tâm chủ quan và chủ nghĩa duy tâm khách quan."
Chủ nghĩa duy tâm chủ quan thừa nhận điều gì về ý thức con người?,"<answer> tính thứ nhất của ý thức con người. <context> Chủ nghĩa duy tâm chủ quan thừa nhận tính thứ nhất của ý thức con người. Trong khi phủ nhận sự tồn tại khách quan của hiện thực, chủ nghĩa duy tâm chủ quan khẳng định mọi sự vật, hiện tượng chỉ là phức hợp những cảm giác của cá nhân, của chủ thể."
Chủ nghĩa duy tâm khách quan thừa nhận điều gì về ý thức?,"<answer> tính thứ nhất của ý thức <context> Chủ nghĩa duy tâm khách quan cũng thừa nhận tính thứ nhất của ý thức nhưng theo họ đấy là là thứ tinh thần khách quan có trước và tồn tại độc lập với con người. Thực thể tinh thần khách quan này thường mang những tên gọi khác nhau như ý niệm, tinh thần tuyệt đối, lý tính thế giới, v.v.."
Chủ nghĩa duy tâm triết học cho rằng gì về mối quan hệ giữa ý thức và giới tự nhiên?,"<answer> ý thức, tinh thần là cái có trước và sản sinh ra giới tự nhiên <context> Chủ nghĩa duy tâm triết học cho rằng ý thức, tinh thần là cái có trước và sản sinh ra giới tự nhiên; như vậy là đã bằng cách này hay cách khác thừa nhận sự sáng tạo ra thế giới. Vì vậy, tôn giáo thường sử dụng các học thuyết duy tâm làm cơ sở lý luận, luận chứng cho các quan điểm của mình. Tuy nhiên, có sự khác nhau giữa chủ nghĩa duy tâm triết học với chủ nghĩa duy tâm tôn giáo. Trong thế giới quan tôn giáo, lòng tin là cơ sở chủ yếu và đóng vai trò chủ đạo. Còn chủ nghĩa duy tâm triết học lại là sản phẩm của tư duy lý tính dựa trên cơ sở tri thức và lý trí."
Theo Phật giáo khái niệm nhân quả có ý nghĩa gì?,"<answer> một chuỗi liên tục không gián đoạn và không hỗn loạn <context> Phật giáo nhìn nhận thế giới tự nhiên cũng như nhân sinh bằng sự phân tích nhân quả. Theo Phật giáo, nhân quả là một chuỗi liên tục không gián đoạn và không hỗn loạn, có nghĩa là nhân nào quả ấy. Mối quan hệ nhân quả này Phật giáo thường gọi là nhân duyên với ý nghĩa là một kết quả của nguyên nhân nào đó sẽ là nguyên nhân của một kết quả khác. Về thế giới tự nhiên, bằng sự phân tích nhân quả, Phật giáo cho rằng không thể tìm ra một nguyên nhân đầu tiên cho vũ trụ, có nghĩa là không có một đấng Tối cao (Brahman) nào sáng tạo ra vũ trụ. Cùng với sự phủ định Brahman, Phật giáo cũng phủ định phạm trù(Anatman, nghĩa là không có tôi) và quan điểm vô thường."
Quan điểm vô ngã trong Phật giáo cho rằng về sự tồn tại của vạn vật như thế nào?,"<answer> là sự giả hợp do hội đủ nhân duyên nên thành ra có <context> Quan điểm vô ngã cho rằng vạn vật trong vũ trụ chỉ là sự giả hợp do hội đủ nhân duyên nên thành ra có (tồn tại). Ngay bản thân sự tồn tại của thực thể con người chẳng qua là do ngũ uẩn (5 yếu tố) hội tụ lại là: sắc (vật chất), thụ (cảm giác), tưởng (ấn tượng), hành (suy lý) và thức (ý thức). Như vậy là không có cái gọi là tôi (vô ngã)."
Quan điểm vô thường trong Phật giáo diễn giải về sự biến đổi của vạn vật như thế nào?,"<answer> sinh, trụ, dị, diệt <context> Quan điểm vô thường cho rằng vạn vật biến đổi vô cùng theo chu trình bất tận: sinh, trụ, dị, diệt. Vậy thì có có - không không luân hồi bất tận; thoáng có, thoáng không, cái còn thì chẳng còn, cái mất thì chẳng mất."
Phật giáo sau khi Siddharta mất đã chia thành những bộ phận nào?,"<answer> Thượng toạ và Đại chúng. <context> Sau khi Siddharta mất, Phật giáo đã chia thành hai bộ phận: Thượng toạ và Đại chúng. Phái Thượng tọa bộ (Theravada) chủ trương duy trì giáo lý cùng cách hành đạo thời Đức Phật tại thế; phái Đại chúng bộ (Mahasamghika) với tư tưởng cải cách giáo lý và hành đạo cho phù hợp với thực tế."
Trung Quốc cổ đại có bao nhiêu miền và khác nhau như thế nào?,"<answer> Miền Bắc và Miền Nam. <context> Trung Hoa cổ đại là một quốc gia rộng lớn có hai miền khác nhau. Miền Bắc có lưu vực sông Hoàng Hà, xa biển, khí hậu lạnh, đất đai khô khan, cây cỏ thưa thớt, sản vật hiếm hoi. Miền Nam có lưu vực sông Dương Tử khí hậu ấm áp, cây cối xanh tươi, sản vật phong phú."
Sự kiện nào đánh dấu sự thống nhất của Trung Quốc cổ đại?,"<answer> Tần Thủy Hoàng thống nhất Trung Hoa <context> Trung Hoa cổ đại có lịch sử lâu đời từ cuối thiên niên kỷ III trước Công Nguyên kéo dài tới tận thế kỷ III trước Công Nguyên với sự kiện Tần Thủy Hoàng thống nhất Trung Hoa bằng uy quyền bạo lực mở đầu thời kỳ phong kiến tập quyền. Trong khoảng 2000 năm lịch sử ấy, lịch sử Trung Hoa được phân chia làm hai thời kỳ lớn: Thời kỳ từ thế kỷ IX trước Công Nguyên về trước và thời kỳ từ thế kỷ VIII đến cuối thế kỷ III trước Công Nguyên."
Ai là người lập ra nhà Chu trong thời kỳ thứ nhất của lịch sử Trung Quốc cổ đại?,"<answer> Chu Vũ Vương <context> Thời kỳ thứ nhất có các triều đại nhà Hạ, nhà Thương và Tây Chu. Theo các văn bản cổ, nhà Hạ ra đời khoảng thế kỷ XXI trước Công Nguyên, là cái mốc đánh dấu sự mở đầu cho chế độ chiếm hữu nô lệ ở Trung Hoa. Khoảng nửa đầu thế kỷ XVII trước Công Nguyên, người đứng đầu bộ tộc Thương là Thành Thang đã lật đổ Vua Kiệt nhà Hạ, lập nên nhà Thương đặt đô ở đất Bạc, tỉnh Hà Nam bây giờ. Đến thế kỷ XIV trước Công Nguyên, Bàn Canh dời đô về đất Ân thuộc huyện An Dương Hà Nam ngày nay. Vì vậy, nhà Thương còn gọi là nhà Ân. Vào khoảng thế kỷ XI trước Công Nguyên, Chu Vũ Vương, con Chu Văn Vương đã giết Vua Trụ nhà Thương lập ra nhà Chu (giai đoạn đầu của nhà Chu là Tây Chu) đưa chế độ nô lệ ở Trung Hoa lên đỉnh cao. Trong thời kỳ thứ nhất này, những tư tưởng triết học đã xuất hiện, tuy chưa đạt tới mức là một hệ thống. Thế giới quan thần thoại, tôn giáo và chủ nghĩa duy tâm thần bí là thế giới quan thống trị trong đời sống tinh thần xã hội Trung Hoa bấy giờ. Tư tưởng triết học thời kỳ này đã gắn chặt thần quyền và thế quyền và ngay từ đầu nó đã lý giải sự liên hệ mật thiết giữa đời sống chính trị - xã hội với lĩnh vực đạo đức luân lý. Đồng thời, thời kỳ này đã xuất hiện những quan niệm có tính chất duy vật mộc mạc, những tư tưởng vô thần tiến bộ đối lập lại chủ nghĩa duy tâm, thần bí thống trị đương thời."
Ai là người đầu tiên đề xuất giải thể chế độ nô lệ và hình thành xã hội phong kiến trong lịch sử Trung Hoa cổ đại?,"<answer> Lưu Hâm <context> Thời kỳ thứ hai là thời kỳ Đông Chu (thường gọi là thời kỳ Xuân Thu - Chiến Quốc) là thời kỳ chuyển biến từ chế độ chiếm hữu nô lệ sang chế độ phong kiến. Dưới thời Tây Chu, đất đai thuộc về nhà Vua thì dưới thời Đông Chu quyền sở hữu tối cao về đất đai thuộc tầng lớp địa chủ và chế độ sở hữu tư nhân về ruộng đất hình thành. Từ đó, sự phân hóa sang hèn dựa trên cơ sở tài sản xuất hiện. Xã hội lúc này ở vào tình trạng hết sức đảo lộn. Theo Lưu Hâm (đời Tây Hán), Trung Hoa thời kỳ này có chín trường phái triết học chính (gọi là Cửu lưu hoặc Cửu gia) là: Nho gia, Mặc gia, Đạo gia, Âm Dương gia, Danh gia, Pháp gia, Nông gia, Tung hoành gia, Tạp gia. Có thể nói, trừ Phật giáo được du nhập từ ấn Độ sau này, các trường phái triết học được hình thành vào thời Xuân Thu - Chiến Quốc được bổ sung hoàn thiện qua nhiều giai đoạn lịch sử trung cổ, đã tồn tại trong suốt quá trình phát triển của lịch sử tư tưởng Trung Hoa cho tới thời cận đại."
